CAMIS,YEAR,SCORE,SCORE CHANGE
30075445,2014.0,5.33333333333,4.0
30112340,2013.0,13.1666666667,4.0
30191841,2012.5,9.25,10.0
40356018,2012.5,9.0,7.0
40356068,2012.5,17.75,5.0
40356151,2013.0,14.6666666667,-25.0
40356442,2013.0,10.5,0.0
40356483,2012.5,9.625,-1.0
40356649,2012.5,9.125,-1.0
40356731,2013.0,8.83333333333,-4.0
40357217,2013.0,6.0,-8.0
40357437,2012.5,3.5,-3.0
40358429,2013.5,24.625,8.0
40359480,2012.5,3.25,-3.0
40359705,2013.33333333,15.6666666667,18.0
40360045,2013.0,10.6666666667,-2.0
40360076,2014.0,8.0,4.0
40361322,2013.5,14.25,-12.0
40361521,2013.5,11.625,1.0
40361606,2013.0,8.33333333333,0.0
40361618,2012.5,9.5,-2.0
40361708,2013.5,9.75,-4.0
40361998,2013.5,6.25,6.0
40362098,2012.5,10.125,-3.0
40362264,2014.0,17.8333333333,7.0
40362274,2014.0,8.66666666667,-9.0
40362432,2013.5,9.54166666667,1.0
40362715,2013.5,10.5,1.0
40362869,2012.5,8.0,10.0
40363093,2013.5,9.875,2.0
40363098,2013.0,9.83333333333,2.0
40363117,2014.0,9.0,-4.0
40363151,2013.5,10.0,-5.0
40363289,2013.33333333,11.0,6.0
40363298,2012.33333333,8.5,1.0
40363333,2012.5,14.125,-1.0
40363426,2013.5,4.5,-12.0
40363427,2014.0,6.66666666667,8.0
40363565,2013.5,16.125,11.0
40363590,2013.5,7.375,7.0
40363630,2012.5,14.5,16.0
40363644,2012.5,4.25,-3.0
40363685,2012.5,9.625,4.0
40363744,2014.0,1.0,3.0
40363834,2013.0,6.33333333333,-10.0
40363920,2013.5,11.5,-3.0
40363945,2013.0,12.5,-4.0
40364179,2014.0,12.8333333333,7.0
40364220,2013.0,10.0,-1.0
40364262,2013.0,9.33333333333,0.0
40364286,2014.0,11.5,-6.0
40364296,2013.5,10.75,-1.0
40364299,2013.5,13.125,6.0
40364304,2013.5,20.125,-5.0
40364305,2013.5,9.5,1.0
40364335,2013.5,10.375,1.0
40364347,2013.5,12.625,8.0
40364355,2013.5,10.875,3.0
40364362,2013.5,11.75,1.0
40364363,2013.0,7.5,5.0
40364373,2013.0,9.83333333333,-4.0
40364389,2013.0,13.8333333333,-1.0
40364404,2012.5,16.25,52.0
40364439,2012.5,10.5,-1.0
40364443,2013.5,11.5,0.0
40364449,2013.0,13.3333333333,16.0
40364467,2013.0,11.2222222222,-10.0
40364518,2013.5,13.125,2.0
40364529,2013.5,13.625,13.0
40364531,2013.5,9.0,3.0
40364572,2013.5,8.75,-6.0
40364576,2013.0,21.5,-8.0
40364581,2013.0,6.33333333333,-4.0
40364610,2013.0,7.33333333333,-2.0
40364668,2013.5,16.75,2.0
40364681,2012.5,15.75,10.0
40364691,2013.0,12.3333333333,-5.0
40364715,2012.5,10.25,-7.0
40364744,2014.0,10.5,2.0
40364858,2013.33333333,8.5,-5.0
40364863,2013.0,8.5,-1.0
40364889,2012.5,12.25,0.0
40364920,2013.0,8.22222222222,8.0
40364956,2013.0,12.6666666667,12.0
40364958,2012.5,4.375,3.0
40365013,2012.5,7.75,-2.0
40365022,2012.5,13.0,11.0
40365043,2013.0,14.6666666667,8.0
40365075,2012.5,11.0,8.0
40365098,2013.0,10.3333333333,4.0
40365120,2013.0,9.33333333333,3.0
